model,policy,split,threshold,selected,n_trade_days,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
tcn_gpu_stage3_stride1,naive_threshold,valid,0.7,False,20,101,11.633342295034758,-8.556484961761853,20.189827256796608,1.5805853856567356,-0.08471767288873122,-0.735513900026294,-21.41136788747397
tcn_gpu_stage3_stride1,naive_threshold,valid,0.75,False,7,10,-3.9162596076891854,-5.915555269869035,1.9992956621798492,0.15384832741549945,-0.5915555269869035,,-4.60131995633679
tcn_gpu_stage3_stride1,naive_threshold,valid,0.8,False,2,2,-0.9679590903862747,-1.367813844280668,0.3998547538943933,0.031083160539001085,-0.683906922140334,,0.0
tcn_gpu_stage3_stride1,naive_threshold,valid,0.85,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
tcn_gpu_stage3_stride1,naive_threshold,valid,0.9,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
tcn_gpu_stage3_stride1,naive_threshold,valid,0.95,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,0.0,False,59,36048,1960.1937543588804,-5247.80929366168,7208.0030480205605,578.1520278658807,-0.14557837587832004,-2.677189069698918,-5248.506584485174
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,9.014248e-06,False,59,19217,1005.9182920818447,-2836.574414155007,3842.4927062368515,307.64611997725797,-0.1476075565465477,-2.819885508080824,-2836.913071408034
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,1.1771823e-05,False,58,15682,816.3078781609973,-2319.333921866641,3135.6418000276385,250.93946493790634,-0.14789783968031125,-2.841248974702664,-2319.1995030792395
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,1.5391116e-05,False,58,12106,619.0788366624233,-1801.5177366533724,2420.5965733157955,193.59461359761508,-0.14881197229913865,-2.9099972894659287,-1801.3472196310836
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,2.0304864e-05,False,58,8425,406.0906916605808,-1278.4728859234142,1684.5635775839949,134.5165713004098,-0.15174752355174057,-3.148244744777329,-1278.2896483803304
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,2.8447036e-05,False,58,4530,148.50776600978648,-757.2162835556487,905.7240495654353,72.16489277199557,-0.16715591248469067,-5.098832902151051,-757.3489416332819
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,3.6634694e-05,True,58,2423,43.43944105821344,-440.9912511983528,484.4306922565662,38.56812605195173,-0.18200216723002594,-10.151862925846075,-440.7910524574842
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,4.4575606e-05,False,57,1256,59.05883685003711,-192.06222087775132,251.12105772778847,19.946717727956983,-0.15291578095362365,-3.2520488232004627,-201.91514940545048
tcn_gpu_stage3_stride1,cost_aware_threshold,valid,5.6739637e-05,False,52,523,54.58740633896454,-49.978845399057874,104.56625173802242,8.241291768945715,-0.09556184588729995,-0.9155746490080612,-58.021553173087106
tcn_gpu_stage3_stride1,RSEP-full,valid,0.0,False,58,7103,482.0440904434213,-938.3070265641334,1420.3511170075544,113.54647865890544,-0.1321001022897555,-1.9465170202605457,-940.2839436499803
tcn_gpu_stage3_stride1,RSEP-full,valid,8.491254e-06,False,58,3679,260.5247020558419,-475.1417159708817,735.6664180267237,58.65865383666036,-0.1291496917561516,-1.8237875803003047,-475.78356171664745
tcn_gpu_stage3_stride1,RSEP-full,valid,1.1165357e-05,True,58,2982,206.6229951653326,-389.6664334571571,596.2894286224897,47.531752506653895,-0.13067284824183673,-1.8858812551108333,-390.0381780711532
tcn_gpu_stage3_stride1,RSEP-full,valid,1.4305205e-05,False,58,2284,156.77418811194838,-299.9387499317312,456.7129380436795,36.37049340653746,-0.13132169436590682,-1.9131896235211419,-300.1341190481719
tcn_gpu_stage3_stride1,RSEP-full,valid,1.8716394e-05,False,58,1558,93.71069606115492,-217.82826455326784,311.53896061442276,24.7730500467812,-0.1398127500341899,-2.324476006571488,-217.64525989325253
tcn_gpu_stage3_stride1,RSEP-full,valid,2.5773385e-05,False,58,806,62.32927218442659,-98.8366341850289,161.1659063694555,12.799539827440775,-0.12262609700375794,-1.5857177650427294,-104.1517061674074
tcn_gpu_stage3_stride1,RSEP-full,valid,3.2696371e-05,False,58,420,42.67986200671555,-41.30110035864651,83.98096236536207,6.68054362822994,-0.09833595323487264,-0.9676952646226433,-42.42287268016712
tcn_gpu_stage3_stride1,RSEP-full,valid,3.9081205e-05,False,49,218,41.38772914852025,-2.2024761422041355,43.5902052907244,3.4721858092064126,-0.01010310156974374,-0.05321567980452683,-10.18630085221967
tcn_gpu_stage3_stride1,RSEP-full,valid,4.884914e-05,False,35,92,18.61549498905706,0.22060083820860454,18.394894150848454,1.4615260180914817,0.002397835197919615,0.011850387987978973,-6.991061557694483
