model,policy,regime,gross_pnl,net_pnl,n_trades,threshold
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,SHOCK_RECOVERY,-1.293455593947885,-15.090424810849177,69,1.4391646e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,UNKNOWN,-13.883858738986836,-25.68024985070853,59,1.4391646e-05
tcn_gpu_stage3,tcn_gpu_stage3_RSEP-full_tuned,VOLATILE_ILLIQUID,1.0206192090808612,0.2208215432730135,4,1.4391646e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,BALANCED_TRANSITION,38.489701759816924,-215.10236668228382,1269,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,CALM_ILLIQUID,-25.18454658934912,-35.37982167926308,51,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,CALM_LIQUID,41.12423397826551,-69.85598128998764,555,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,CHOPPY_MEAN_REVERTING,280.2918326325408,-1077.182868662409,6789,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,LIQUIDITY_DROUGHT,-58.41445089915382,-83.60067143474603,126,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,MILD_LIQUIDITY_STRESS,-6.591047970058298,-140.16235336262963,668,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,MOMENTUM_TOXIC,207.7760419783876,-766.116299710453,4871,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,SHOCK_RECOVERY,154.04210416101378,-405.40569230194217,2798,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,UNKNOWN,87.16047676110665,-427.73960113687997,2575,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,VOLATILE_ILLIQUID,-89.35671158630164,-135.12081428599868,229,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_naive_threshold_tuned,VOLATILE_LIQUID,0.5867191465506008,0.38677783453314973,1,0.6
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,BALANCED_TRANSITION,11.347131981566026,-81.17500238499922,463,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,CALM_ILLIQUID,-6.919970641530704,-7.919211614516854,5,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,CALM_LIQUID,13.487268853468832,-45.706738938373476,296,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,CHOPPY_MEAN_REVERTING,39.13608538445582,-184.21053901608335,1117,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,LIQUIDITY_DROUGHT,-3.518243458073084,-8.916619418238513,27,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,MILD_LIQUIDITY_STRESS,1.0393592789540393,-31.55605969647971,163,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,MOMENTUM_TOXIC,65.0116430138225,-212.12558791476414,1386,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,SHOCK_RECOVERY,29.111161669230885,-76.27530909926566,527,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,UNKNOWN,17.160902400811835,-95.02475563135282,561,3.6634694e-05
tcn_gpu_stage3_stride1,tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,VOLATILE_ILLIQUID,-40.99686104422921,-45.592991666932946,23,3.6634694e-05
