symbol,split,feature,mean,std,p05,p25,median,p75,p95,sample_rows,sample_seed,sample_method,eth_btc_mean_ratio,eth_btc_median_ratio
BTC-USDT,valid,realized_vol_100,1.1897416698047891e-05,1.5045558029669337e-05,0.0,1.1030437008230365e-07,8.788189461483853e-06,1.704133819657727e-05,3.594649915612535e-05,200302,7,deterministic_row_hash_sample,1.8889392744539784,2.0493680012240865
BTC-USDT,valid,vol_score,0.04013347253203392,1.3626748323440552,-1.728575336933136,-0.8612411320209503,-0.1578136682510376,0.8593675494194031,2.2855114579200744,200302,7,deterministic_row_hash_sample,0.27133729970175197,0.7088674814195404
BTC-USDT,valid,abs_future_ret_h,9.896796836983413e-05,0.00016119253996293992,0.0,0.0,3.273216134402901e-05,0.00014064611968933605,0.0003958725879783739,200302,7,deterministic_row_hash_sample,1.7057012124786448,3.129858709477504
ETH-USDT,test,mid_price,3425.974365234375,366.4823303222656,2691.8081787109377,3196.3699951171875,3402.72509765625,3697.60498046875,3968.0048828125,199684,7,deterministic_row_hash_sample,0.03756227459087481,0.035703446918777165
ETH-USDT,test,spread,0.010715099982917309,0.02863123081624508,0.010009765625,0.010009765625,0.010009765625,0.010009765625,0.010009765625,199684,7,deterministic_row_hash_sample,0.5636781743673077,1.28125
ETH-USDT,test,rel_spread,3.1610843507223763e-06,8.07975902716862e-06,2.5202120923495386e-06,2.7058795240009204e-06,2.940325657618814e-06,3.1332289722740825e-06,3.771005219732613e-06,199684,7,deterministic_row_hash_sample,15.128927991860198,34.378307974238076
ETH-USDT,test,top_of_book_depth,48.348426818847656,47.90024185180664,17.043515777587892,30.088225841522217,42.7887020111084,59.065850257873535,90.7760097503662,199684,7,deterministic_row_hash_sample,8.64647830441225,8.452523582516353
ETH-USDT,test,total_depth_10,79.96269989013672,71.60427856445312,34.74230365753174,53.95760250091553,71.6176986694336,94.21183013916016,138.6019020080566,199684,7,deterministic_row_hash_sample,11.251156086350814,11.177716548108295
ETH-USDT,test,realized_vol_20,3.135458973702043e-05,3.2545282010687515e-05,0.0,1.0101292446051957e-05,2.578517160145566e-05,4.331266882218188e-05,8.511170308338477e-05,199684,7,deterministic_row_hash_sample,2.1006522034258532,4.752910552717401
ETH-USDT,test,realized_vol_100,3.6814381019212306e-05,2.71721637545852e-05,9.413043608219596e-06,2.0617188511096174e-05,3.096948603342753e-05,4.5614336158905644e-05,8.279471294372335e-05,199684,7,deterministic_row_hash_sample,1.8838294674760987,2.0491560073782424
ETH-USDT,test,vol_score,0.009853056631982327,1.2975064516067505,-1.9458626925945282,-0.9210629761219025,-0.09478697553277016,0.9192106276750565,2.1644764423370355,199684,7,deterministic_row_hash_sample,0.4567338289769599,0.7233153745244856
ETH-USDT,test,abs_future_ret_h,0.0002821296511683613,0.0003099848981946707,0.0,8.251274084614124e-05,0.00019628409063443542,0.0003832634392892942,0.0008357265352969987,199684,7,deterministic_row_hash_sample,1.8079114558209273,2.2081138468921466
ETH-USDT,train,mid_price,3108.395751953125,491.34014892578125,2293.696875,2638.7548828125,3154.205078125,3498.794921875,3840.1748046875,599505,7,deterministic_row_hash_sample,0.049970859726227904,0.049528997725954794
ETH-USDT,train,spread,0.010992186143994331,0.03908609598875046,0.010009765625,0.010009765625,0.010009765625,0.010009765625,0.010009765625,599505,7,deterministic_row_hash_sample,0.33541916987892506,0.8541666666666666
ETH-USDT,train,rel_spread,3.623520115070278e-06,1.4097790881351102e-05,2.6045656795758987e-06,2.8603947157535003e-06,3.1754805149830645e-06,3.7996449009369826e-06,4.373759566078661e-06,599505,7,deterministic_row_hash_sample,6.7671514967892845,17.58446121039367
ETH-USDT,train,top_of_book_depth,67.03739929199219,51.44045639038086,23.132880783081056,41.43689727783203,59.00879669189453,83.060302734375,130.8427795410154,599505,7,deterministic_row_hash_sample,8.078767450755402,7.62629963263853
ETH-USDT,train,total_depth_10,109.30213928222656,68.75741577148438,50.86221923828125,74.9912109375,98.11048889160156,129.288818359375,194.2449951171875,599505,7,deterministic_row_hash_sample,10.32027059784157,9.973588043828746
ETH-USDT,train,realized_vol_20,2.9035994884907268e-05,4.4211647036718205e-05,0.0,0.0,1.8776883734972216e-05,3.985680450568907e-05,9.557865414535615e-05,599505,7,deterministic_row_hash_sample,1.903040211120573,371.79069088036954
ETH-USDT,train,realized_vol_100,3.548134918673895e-05,4.230513877701014e-05,2.486215862518293e-06,1.531046837044414e-05,2.6542891646386124e-05,4.3871878006029874e-05,9.263133397325868e-05,599505,7,deterministic_row_hash_sample,1.781204071239477,1.8468157395189133
ETH-USDT,train,vol_score,0.0005745278322137892,1.3173190355300903,-1.9154457092285155,-0.9480524659156799,-0.1489163637161255,0.91229647397995,2.211695671081541,599505,7,deterministic_row_hash_sample,0.02896114180014542,1.0742858457395517
ETH-USDT,train,abs_future_ret_h,0.0002620273735374212,0.0003841657598968595,0.0,5.511834751814604e-05,0.00016202717961277813,0.0003442872839514166,0.0008399904356338065,599505,7,deterministic_row_hash_sample,1.6081608448067677,1.9649323894110156
ETH-USDT,valid,mid_price,2513.747802734375,113.61664581298828,2330.4599609375,2425.134765625,2509.6748046875,2622.39501953125,2674.455078125,200811,7,deterministic_row_hash_sample,0.040368528598090085,0.040084253599197116
ETH-USDT,valid,spread,0.010178016498684883,0.014757833443582058,0.010009765625,0.010009765625,0.010009765625,0.010009765625,0.010009765625,200811,7,deterministic_row_hash_sample,0.8208680548748515,0.8541666666666666
ETH-USDT,valid,rel_spread,4.056526904605562e-06,5.772464191977633e-06,3.7383906601462513e-06,3.8157809285621624e-06,3.985580406151712e-06,4.125008217670256e-06,4.294350219424814e-06,200811,7,deterministic_row_hash_sample,20.171237592810133,21.508314274754284
ETH-USDT,valid,top_of_book_depth,61.968563079833984,36.51469421386719,27.148200035095215,43.154300689697266,57.45929718017578,74.92020034790039,107.5385513305664,200811,7,deterministic_row_hash_sample,7.873785798363704,7.934219022747075
ETH-USDT,valid,total_depth_10,99.8471908569336,48.4221076965332,53.350650787353516,75.11709976196289,94.10769653320312,116.4059944152832,157.61505889892578,200811,7,deterministic_row_hash_sample,10.199600383834152,10.465603576325941
ETH-USDT,valid,realized_vol_20,1.707561023067683e-05,2.559357017162256e-05,0.0,0.0,7.883574653533287e-06,2.659935398696689e-05,6.107479930506088e-05,200811,7,deterministic_row_hash_sample,2.0694143444378383,
ETH-USDT,valid,realized_vol_100,2.247349766548723e-05,2.1457759430631995e-05,0.0,9.596267318556784e-06,1.8010234271059744e-05,2.946821132354671e-05,5.878020056115929e-05,200811,7,deterministic_row_hash_sample,1.8889392744539784,2.0493680012240865
ETH-USDT,valid,vol_score,0.010889708064496517,1.3122962713241577,-1.903282642364502,-0.9139373898506165,-0.1118689775466919,0.9023280143737793,2.15076744556427,200811,7,deterministic_row_hash_sample,0.27133729970175197,0.7088674814195404
ETH-USDT,valid,abs_future_ret_h,0.00016880978364497423,0.00022809120127931237,0.0,8.61952230479801e-06,0.00010244704026263207,0.00023134696675697342,0.0005759164050687104,200811,7,deterministic_row_hash_sample,1.7057012124786448,3.129858709477504
